time (ms),Ia,Ib,Ic,L1,L2,L3,G
0.028,74.62417339,19.10240606,-100.886445,0,0,1,1
0.029,60.76008654,48.98869419,-173.7956647,0,0,1,1
0.03,41.08345496,74.21386442,-235.5019681,0,0,1,1
0.031,17.49618028,92.29709017,-279.6935615,0,0,1,1
0.032,-7.725981462,101.4109773,-301.6947153,0,0,1,1
0.033,-32.13321253,100.6779033,-299.1456755,0,0,1,1
0.034,-53.32852844,90.14470317,-271.9913533,0,0,1,1
0.035,-69.25434,70.81826433,-222.64371,0,0,1,1
0.036,-78.3627288,44.63528548,-155.7590462,0,0,1,1
0.037,-79.75194391,14.11736303,-77.63900297,0,0,1,1
0.038,-73.28594209,-17.75250189,4.266640011,0,0,1,1
0.039,-59.6148539,-47.83794036,82.13047787,0,0,1,1
0.04,-40.08238924,-73.21294684,148.5359335,0,0,1,1
0.041,-16.58765942,-91.38170256,197.12375,0,0,1,1
0.042,8.55536794,-100.5725593,223.3088398,0,0,1,1
0.043,32.90263014,-99.87685467,224.6779259,0,0,1,1
0.044,54.05220277,-89.42159398,201.3110648,0,0,1,1
0.045,69.93297776,-70.17269905,155.576906,0,0,1,1
0.046,78.98972093,-44.02573608,92.08738675,0,0,1,1
0.047,80.33681673,-13.54457676,17.18422954,0,0,1,1
0.048,73.83078216,18.29096474,-61.66316137,0,0,1,1
0.049,60.13558387,48.34533571,-136.6413897,0,0,1,1
0.05,40.56504964,73.68999822,-200.291665,0,0,1,1
0.051,17.03628639,91.84269819,-246.2767853,0,0,1,1
0.052,-8.150709777,100.9951957,-269.9743955,0,0,1,1
0.053,-32.51003225,100.2707644,-269.0025341,0,0,1,1
0.054,-53.68266699,89.77432566,-243.3792497,0,0,1,1
0.055,-69.58750984,70.49059413,-195.5044774,0,0,1,1
0.056,-78.67212874,44.32055874,-129.9896561,0,0,1,1
0.057,-80.04525762,13.81051002,-53.16433882,0,0,1,1
0.058,-73.56810888,-18.03720527,27.50140866,0,0,1,1
0.059,-59.89448662,-48.10797548,104.2047762,0,0,1,1
0.06,-40.33980705,-73.46690652,169.4895424,0,0,1,1
0.021,4.697506296,-127.7931921,73.794269,0,1,0,1
0.022,37.40996195,-201.1097374,64.103724,0,1,0,1
0.023,65.54005541,-265.6603722,47.22797257,0,1,0,1
0.024,86.74134377,-314.2369831,25.2081972,0,1,0,1
0.025,99.30029371,-341.8431698,0.570715643,0,1,0,1
0.026,102.1449338,-345.5061035,-24.13219007,0,1,0,1
0.027,94.91912942,-324.2432252,-46.53737811,0,1,0,1
0.028,78.41135117,-279.8372735,-64.37976488,0,1,0,1
0.029,54.26154514,-216.2356692,-75.87748992,0,1,0,1
0.03,24.85745983,-139.2308088,-79.89001284,0,1,0,1
0.031,-6.913306924,-55.97181558,-76.01935947,0,1,0,1
0.032,-37.94744808,25.76959962,-64.65202194,0,1,0,1
0.033,-65.19954742,98.32716029,-46.89294821,0,1,0,1
0.034,-86.0258157,154.9728179,-24.49546752,0,1,0,1
0.035,-98.38006639,190.4432263,0.359397763,0,1,0,1
0.036,-101.0592355,201.6089958,25.22747166,0,1,0,1
0.037,-93.79659403,187.629522,47.67145747,0,1,0,1
0.038,-77.30156909,150.1283238,65.49318842,0,1,0,1
0.039,-53.19306946,93.06122618,76.93774189,0,1,0,1
0.04,-23.85766724,22.28003729,80.89753465,0,1,0,1
0.041,7.857421209,-55.07512205,76.96732922,0,1,0,1
0.042,38.82964801,-131.205087,65.54033785,0,1,0,1
0.043,66.03007816,-198.449131,47.72624669,0,1,0,1
0.044,86.79939007,-250.0332739,25.26398886,0,1,0,1
0.045,99.08690088,-280.6783428,0.3463507,0,1,0,1
0.046,101.7061047,-287.2621776,-24.56860307,0,1,0,1
0.047,94.36263178,-268.8960797,-47.06611504,0,1,0,1
0.048,77.85025518,-227.311027,-64.94522492,0,1,0,1
0.049,53.72003964,-166.3605334,-76.44964778,0,1,0,1
0.05,24.33306263,-91.86324862,-80.44914982,0,1,0,1
0.051,-7.425047823,-10.98284524,-76.56299588,0,1,0,1
0.052,-38.44780547,68.48087336,-65.15458622,0,1,0,1
0.053,-65.68051744,138.8913622,-47.37811376,0,1,0,1
0.054,-86.49057837,193.5051168,-24.96207501,0,1,0,1
0.055,-98.81415568,227.0291969,-0.087948283,0,1,0,1
0.056,-101.4497212,236.3029225,24.80611232,0,1,0,1
0.057,-94.15531561,220.5394149,47.27265043,0,1,0,1
0.058,-77.66513029,181.4094903,65.12149034,0,1,0,1
0.059,-53.53279244,122.7602798,76.58131011,0,1,0,1
0.06,-24.18748075,50.48721755,80.56361311,0,1,0,1
0.021,-4.44367042,-72.25554276,71.62055651,1,0,0,1
0.022,36.23116155,-81.56096163,54.26036445,1,0,0,1
0.023,94.31256978,-85.53749101,28.96248386,1,0,0,1
0.024,162.449564,-82.68094027,-0.761019894,1,0,0,1
0.025,232.6898905,-72.74533242,-31.40101739,1,0,0,1
0.026,297.07415,-56.32668266,-59.60930852,1,0,0,1
0.027,348.3659348,-34.819869,-82.40851668,1,0,0,1
0.028,380.6637998,-10.2369822,-97.48335401,1,0,0,1
0.029,389.9866815,15.12397528,-103.2239812,1,0,0,1
0.03,374.7180516,38.81042193,-99.07438872,1,0,0,1
